$n$,pv,$n_\mathrm{pv}$,$\mathrm{cond}$,$\rho_{\mathrm{J}}$,$\bar{x}_{kk}$
40,0.1,4,3.7320508075688776,0.7675918792439982,0.0149190145138022
40,0.25,10,15.128258765033236,1.3557466950856685,0.0146477597044604
40,0.5,20,80.30848045207135,5.2262599584476295,0.0127489760390673
120,0.1,12,10.571898397084372,1.1842261938100669,0.0194399280028332
120,0.25,30,71.24424214679625,4.582686080007003,0.0189878366539301
120,0.5,60,303.561466298463,13.499864818691634,0.0170890529885371
350,0.1,35,45.21381759000072,3.577624750981185,0.0243354314666696
350,0.25,88,262.9732460461137,12.559121465637364,0.0237964446377176
350,0.5,175,975.5359446055224,33.13105771404955,0.0218553874955441
