$n$,$n_\mathrm{pv}$,$\rho$,$\varepsilon_V$,$\max_k\lvert Q_k\rvert$,$k_{\mathrm{in}}/k_{\mathrm{out}}$,$\varepsilon_{\mathrm{lin}}$,Verhalten
40,4,10.0,2.583760512597788e-05,6.218513734929341,5.166666666666667,0.9680983270599977,Grenzzyklus
40,10,10.0,3.0477939764184114e-06,8.72121902805578,5.166666666666667,0.9356028388496794,Grenzzyklus
40,20,10.0,9.63550204735597e-07,17.10672533177184,5.033333333333333,0.9164097168331456,Grenzzyklus\rlap{$^{\ast}$}
350,35,3.1623,0.5308999470368307,616.8059089781822,114.56666666666666,1.0139189297082525,Divergenz
350,35,4.6416,0.5859991642349907,2874.451619293952,190.75,1.0033641225004306,Divergenz
350,35,6.8129,0.4463734631155169,2479.19542205526,193.83333333333334,1.0015260925708018,Divergenz
350,35,10.0,0.6646401689926853,2515.9302538576653,196.81666666666666,1.0024930506404666,Divergenz
350,88,4.6416,0.3557839150367845,2894.000926700628,187.7,1.0069977478369092,Divergenz
350,88,6.8129,0.8435411732154993,4382.982662784556,193.76666666666668,1.0025627585407206,Divergenz
350,88,10.0,0.5078706501028507,15554.663779168248,194.43333333333334,1.000586969172359,Divergenz
350,175,4.6416,0.8923366212220168,16759.285210086357,193.83333333333334,0.9998647493958152,Divergenz
350,175,6.8129,0.4384217128211549,17069.594011561305,196.81666666666666,1.0066694928825144,Divergenz
350,175,10.0,0.4201996474077474,46660.75774660794,196.81666666666666,0.9993129383106472,Divergenz
