nodes,n_pv,rx,outer_iter,v_err_final,q_max_final,inner_total,inner_per_outer,sens_error_median,cls
40,4.0,10.0,60.0,2.583760512597788e-05,6.218513734929341,310.0,5.166666666666667,0.9680983270599977,slow
40,10.0,10.0,60.0,3.0477939764184114e-06,8.72121902805578,310.0,5.166666666666667,0.9356028388496794,slow
40,20.0,10.0,60.0,9.63550204735597e-07,17.10672533177184,302.0,5.033333333333333,0.9164097168331456,marginal
350,35.0,3.1623,60.0,0.5308999470368307,616.8059089781822,6874.0,114.56666666666666,1.0139189297082525,div
350,35.0,4.6416,60.0,0.5859991642349907,2874.451619293952,11445.0,190.75,1.0033641225004306,div
350,35.0,6.8129,60.0,0.4463734631155169,2479.19542205526,11630.0,193.83333333333334,1.0015260925708018,div
350,35.0,10.0,60.0,0.6646401689926853,2515.9302538576653,11809.0,196.81666666666666,1.0024930506404666,div
350,88.0,4.6416,60.0,0.3557839150367845,2894.000926700628,11262.0,187.7,1.0069977478369092,div
350,88.0,6.8129,60.0,0.8435411732154993,4382.982662784556,11626.0,193.76666666666668,1.0025627585407206,div
350,88.0,10.0,60.0,0.5078706501028507,15554.663779168248,11666.0,194.43333333333334,1.000586969172359,div
350,175.0,4.6416,60.0,0.8923366212220168,16759.285210086357,11630.0,193.83333333333334,0.9998647493958152,div
350,175.0,6.8129,60.0,0.4384217128211549,17069.594011561305,11809.0,196.81666666666666,1.0066694928825144,div
350,175.0,10.0,60.0,0.4201996474077474,46660.75774660794,11809.0,196.81666666666666,0.9993129383106472,div
