nodes,n_pv,0.1,0.1468,0.2154,0.3162,0.4642,0.6813,1.0,1.4678,2.1544,3.1623,4.6416,6.8129,10.0,rho_star
40,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,60.0,10.0
40,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,60.0,10.0
40,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,60.0,10.0
120,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,43.0,
120,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,36.0,
120,60.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,35.0,
350,35.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,9.0,60.0,60.0,60.0,60.0,3.1623
350,88.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,17.0,60.0,60.0,60.0,4.6416
350,175.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,13.0,60.0,60.0,60.0,4.6416
