n,pv_share,scale_mode,lam,base_ok,v_min_base,tpf_conv,k_out,k_in,eps_med,q_max,v_min,v_max,nr_conv
40,0.1,load,0.2,True,0.9994966683520772,True,3.0,8.0,0.0012678805475196725,0.0862708704362639,1.0013242312713584,1.0070933663625616,True
40,0.1,load,0.7538461538461538,True,0.9851011097541859,True,3.0,9.0,0.001329399689558753,0.08586878581280365,0.9901073548138098,1.0043892289781182,True
40,0.1,load,1.3076923076923077,True,0.9682418168181768,True,3.0,10.0,0.0014043568993736847,0.0854658326360552,0.9732530866173997,1.0037142957375464,True
40,0.1,load,1.8615384615384616,True,0.9508040355130392,True,3.0,11.0,0.0014806690788084795,0.08506191635513538,0.9558206681813262,1.0030363030515257,True
40,0.1,load,2.4153846153846157,True,0.9327259717587683,True,3.0,11.0,0.0015624772000015236,0.08465706015728672,0.9377484682037746,1.0023552146354007,True
40,0.1,load,2.9692307692307693,True,0.9139339492459955,True,3.0,12.0,0.00165148637644283,0.0842512469601413,0.9189630447886569,1.001670991069507,True
40,0.1,load,3.5230769230769234,True,0.894338939501203,True,3.0,14.0,0.0017489581473878043,0.08384445789333357,0.8993754557842265,1.0009835919860022,True
40,0.1,load,4.0769230769230775,True,0.8738316685985429,True,4.0,16.0,4.0915394061578606e-05,0.08343821825238854,0.8788748096997482,1.0002930667704129,True
40,0.1,load,4.630769230769231,True,0.8522755142086827,True,4.0,19.0,3.751811220351007e-05,0.08302910351745826,0.8573268662270849,0.9995991737779649,True
40,0.1,load,5.184615384615385,True,0.8294958349923035,True,5.0,22.0,1.650403627340722e-05,0.08261900617666686,0.8345569808327484,0.9989019816312239,True
40,0.1,load,5.7384615384615385,True,0.8052632616320741,True,5.0,25.0,1.4677599757858275e-05,0.08220787161484437,0.8103353531926516,0.9982014442008358,True
40,0.1,load,6.292307692307693,True,0.7792661589772674,True,5.0,29.0,4.4385965695119766e-05,0.08179568942670698,0.7843515235659364,0.9974975169544779,True
40,0.1,load,6.846153846153847,True,0.7510622011308115,True,6.0,36.0,3.758199580883753e-05,0.08138244019982382,0.7561613319623861,0.9967901538067527,True
40,0.1,load,7.4,True,0.719985646543146,True,7.0,45.0,4.920540078361316e-05,0.0809681039322014,0.7251028100636293,0.9960793075821447,True
40,0.1,load,7.953846153846155,True,0.6849476299485401,True,8.0,59.0,5.544356026881171e-05,0.08055266006858047,0.690087345062789,0.9953649299815841,True
40,0.1,load,8.507692307692308,True,0.6439235904511965,True,11.0,94.0,7.038013127652951e-05,0.08013608743012027,0.6490934602134686,0.9946469715414815,True
40,0.1,load,9.061538461538461,True,0.5921767633316337,True,22.0,248.0,0.00012324120497905538,0.07971836420440613,0.5973932040070686,0.9939253815945946,True
40,0.1,load,9.615384615384615,True,0.5090411933429202,False,60.0,8245.0,0.02335713002448317,0.07929946791984162,0.575798945194048,0.9932001082282705,True
40,0.1,load,10.169230769230769,False,,,,,,,,,
40,0.1,load,10.723076923076922,False,,,,,,,,,
40,0.1,load_pv,0.2,True,0.9956067966184621,True,3.0,8.0,0.0012781954102016448,0.0862500509247377,1.0005934623811836,1.004818383803335,True
40,0.1,load_pv,0.7538461538461538,True,0.9832560125322254,True,3.0,9.0,0.0013329830790530194,0.08586235760736326,0.988262281986858,1.0043144259754195,True
40,0.1,load_pv,1.3076923076923077,True,0.9706186571560722,True,3.0,10.0,0.0013992875213628703,0.08547389579249402,0.975629870231283,1.0038079347777218,True
40,0.1,load_pv,1.8615384615384616,True,0.9576740943158676,True,3.0,11.0,0.0014651518997022717,0.08508457285892737,0.9626904851017318,1.003298874764334,True
40,0.1,load_pv,2.4153846153846157,True,0.9443990827955223,True,3.0,11.0,0.0015338364826170854,0.08469441440776887,0.9494210113698834,1.0027872166637821,True
40,0.1,load_pv,2.9692307692307693,True,0.9307672912317954,True,3.0,11.0,0.001606599945931321,0.0843034057405636,0.9357952852826243,1.0022729282431027,True
40,0.1,load_pv,3.5230769230769234,True,0.9167486903257182,True,4.0,14.0,3.302414484327295e-05,0.08391339523882477,0.921782333514684,1.0017560853190406,True
40,0.1,load_pv,4.0769230769230775,True,0.9023087820974038,True,4.0,14.0,3.5556536498427325e-05,0.08352032457845653,0.907349105827842,1.0012364186668103,True
40,0.1,load_pv,4.630769230769231,True,0.8874076094211351,True,4.0,16.0,3.173136855659186e-05,0.083126355168482,0.8924548469153464,1.0007140206230807,True
40,0.1,load_pv,5.184615384615385,True,0.8719984641249989,True,4.0,17.0,2.6218120600971154e-05,0.0827315123143972,0.8770530415903869,1.0001888584788095,True
40,0.1,load_pv,5.7384615384615385,True,0.8560261730998864,True,5.0,20.0,1.0167750155692836e-05,0.08233576441993945,0.8610894633676642,0.9996608954944722,True
40,0.1,load_pv,6.292307692307693,True,0.8394247810418889,True,5.0,22.0,1.8661401687531503e-05,0.081939085362663,0.8444970357900988,0.9991300944527707,True
40,0.1,load_pv,6.846153846153847,True,0.8221143474008566,True,5.0,25.0,3.884038869520436e-05,0.08154146484946818,0.8271966276243461,0.9985964182795125,True
40,0.1,load_pv,7.4,True,0.8039964052839522,True,6.0,28.0,1.923815683322161e-05,0.08114288588188903,0.8090892990581097,0.9980598286842448,True
40,0.1,load_pv,7.953846153846155,True,0.7849473280203151,True,6.0,33.0,3.118880742570603e-05,0.0807433309774485,0.7900519239703535,0.997520286501692,True
40,0.1,load_pv,8.507692307692308,True,0.764808288716651,True,6.0,35.0,5.0803439815841625e-05,0.0803427821726609,0.7699261154941786,0.9969777516647499,True
40,0.1,load_pv,9.061538461538461,True,0.7433693935986373,True,7.0,43.0,4.953393130055098e-05,0.07994122098351338,0.7485030400203491,0.9964321831737339,True
40,0.1,load_pv,9.615384615384615,True,0.7203432326585227,True,8.0,50.0,3.114992819350841e-05,0.07953862839306323,0.7254944616158393,0.9958835390660846,True
