n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min,kappa,kappa_n
40,0.2,1.0,0.0017346032184886,0.0138768257479094,True,6,3,4.311275845691052,0.0054310876119499,0.999846399998894,0.0066119815761656,0.0054175124239315,0.0065998838760661,0.0053625783792533,0.9941354650450984,592.9921410218834,0.02683786397905725,0.0006709465994764312
40,0.4769230769230769,1.0,0.0017346032184886,0.0330908921680917,True,7,4,5.361474828679074,0.0128311364603135,0.9998918274294462,0.0160313254890774,0.0131060503887827,0.0159605295402782,0.0127876869043733,0.9859067486995392,248.67412365433816,0.026151009920623972,0.0006537752480155993
40,0.7538461538461538,1.0,0.0017346032184886,0.0523049585882741,True,8,4,6.166942467845423,0.0210464615852481,0.9998973534022662,0.0257751108217899,0.0210238268332522,0.0255929538354728,0.0202127954294934,0.9775466186769388,157.32444557723437,0.026679109115946006,0.0006669777278986501
40,1.0307692307692309,1.0,0.0017346032184886,0.0715190250084564,True,8,4,6.80812827010282,0.0289209399064973,0.9999191612512224,0.0358643473647427,0.0291847687177097,0.03551336293908,0.0276379039546134,0.9690487901297056,115.05817661618632,0.02634767175912295,0.0006586917939780738
40,1.3076923076923077,1.0,0.0017346032184886,0.0907330914286387,True,9,5,7.404453027101584,0.0372604591269767,0.9999057378312683,0.0463220955379195,0.037604109727874,0.0457394637746242,0.0350630124797334,0.9604064593807478,90.69291568569982,0.026281659089268643,0.0006570414772317161
40,1.5846153846153843,1.0,0.0017346032184886,0.109947157848821,True,9,5,7.990944227586778,0.046316206319693,0.9999154412500342,0.0571737398134285,0.0462985598859084,0.0562906568839948,0.0424881210048535,0.951612241873935,74.84366828431538,0.026468489176215543,0.0006617122294053886
40,1.8615384615384616,1.0,0.0017346032184886,0.1291612242690034,True,10,5,8.535551752781075,0.0553004865846472,0.9999040787264548,0.0684473091753017,0.0552865037756491,0.067188261583484,0.0499132295299735,0.9426581002407058,63.7098994486321,0.02639765487090599,0.0006599413717726497
40,2.138461538461539,1.0,0.0017346032184886,0.1483752906891857,True,11,6,9.051377349023484,0.0642363879604382,0.999920118266497,0.080173854676963,0.0645882334119838,0.0784557801633632,0.0573383380550935,0.9335352604887416,55.45969664233441,0.02617828077259254,0.0006544570193148135
40,2.415384615384616,1.0,0.0017346032184886,0.167589357109368,True,11,6,9.58003532449984,0.073808336728846,0.9999107055612731,0.0923878967646067,0.0742262233294139,0.0901192096135075,0.0647634465802136,0.9242341138212742,49.10126008461455,0.02610256054230522,0.0006525640135576305
40,2.6923076923076925,1.0,0.0017346032184886,0.1868034235295504,True,12,6,10.133177737016007,0.0841962213204568,0.9999184597768382,0.1051279584457077,0.0842254574812015,0.1022074116034481,0.0721885551053336,0.9147441009569944,44.05084476162562,0.02616779590959815,0.0006541948977399538
