n,pv_share,setpoint_mode,lam,ell,k_in,err,v_min,q_max,tol_eff,dq_max,eps_med,eps_max,eps_cf_med
40,0.1,calibrated,0.2,1,3,0.004993350767654947,0.9995033213434921,0.0,1e-06,0.08585448531142845,0.0025269330876491448,0.005005476152276066,0.004893360822219221
40,0.1,calibrated,0.2,2,3,2.4157352543907606e-05,1.0013198471282378,0.08585448531142845,1e-06,0.0004163851248354488,8.828007390200088e-06,2.4036565221850526e-05,1.7620743825044988e-05
40,0.1,calibrated,0.2,3,2,2.398539657999521e-07,1.0013242312713584,0.0862708704362639,1e-06,0.0,,,
40,0.1,calibrated,0.47692307692307695,1,3,0.0049841363726186305,0.9937152930868444,0.0,1e-06,0.08566776342352715,0.002591330271892022,0.004997851566333624,0.004760164359587312
40,0.1,calibrated,0.47692307692307695,2,3,2.3340859088616384e-05,0.9983250853953219,0.08566776342352715,1e-06,0.00040217756756258643,4.618270184411628e-06,2.3231883458777104e-05,9.31576735508306e-06
40,0.1,calibrated,0.47692307692307695,3,2,2.2796003484870653e-07,0.9983343434614341,0.08606994099108974,1e-06,0.0,,,
40,0.1,calibrated,0.7538461538461538,1,4,0.00497491289021712,0.985716058441634,0.0,1e-06,0.08548092639823116,0.0026577589824732504,0.004990216628885056,0.004622542758878187
40,0.1,calibrated,0.7538461538461538,2,3,2.251741670389329e-05,0.9901059197616171,0.08548092639823116,1e-06,0.0003878594145724939,1.0403966442555817e-06,2.2419763628128396e-05,1.4372625082190683e-06
40,0.1,calibrated,0.7538461538461538,3,2,2.1629413748947002e-07,0.9901073548138098,0.08586878581280365,1e-06,0.0,,,
40,0.1,calibrated,1.0307692307692309,1,4,0.004965680227489999,0.9775908250046182,0.0,1e-06,0.08529397275658808,0.002726327369524377,0.004982571242173445,0.004480155771856146
40,0.1,calibrated,1.0307692307692309,2,4,2.16893455682321e-05,0.9817548065758657,0.08529397275658808,1e-06,0.00037347076679864085,6.207215515132409e-06,2.1602507551291388e-05,6.838643330479725e-06
40,0.1,calibrated,1.0307692307692309,3,2,2.025259298044091e-07,0.9817490252636978,0.08566744352338672,1e-06,0.0,,,
40,0.1,calibrated,1.3076923076923077,1,4,0.004956438299923316,0.9693337074765993,0.0,1e-06,0.08510690116583149,0.002797153575148117,0.004974915316919549,0.004332624788128915
40,0.1,calibrated,1.3076923076923077,2,4,2.0851982694525262e-05,0.9732653356946541,0.08510690116583149,1e-06,0.0003589314702237088,1.1560223599252249e-05,2.077546232230751e-05,1.402954321240076e-05
40,0.1,calibrated,1.3076923076923077,3,2,1.912320024555214e-07,0.9732530866173997,0.0854658326360552,1e-06,0.0,,,
40,0.1,calibrated,1.5846153846153845,1,5,0.004947187021675958,0.9609382926486291,0.0,1e-06,0.08491971027178719,0.002870362965081175,0.004967248762449647,0.004179565188424568
40,0.1,calibrated,1.5846153846153845,2,4,2.2210659547550193e-05,0.9646306070271952,0.08491971027178719,1e-06,0.00034428066348418494,1.394363485284154e-05,2.62520542320907e-05,1.9241637608990096e-05
40,0.1,calibrated,1.5846153846153845,3,2,1.8012833336022993e-07,0.9646127544077939,0.08526399093527137,1e-06,0.0,,,
40,0.1,calibrated,1.8615384615384616,1,5,0.0049379263012756525,0.9523977371664549,0.0,1e-06,0.08473239862522917,0.0029460962650251863,0.004959571482338956,0.004020471975604055
40,0.1,calibrated,1.8615384615384616,2,4,2.8466478846911336e-05,0.9558430224112334,0.08473239862522917,1e-06,0.0003295177299062046,1.5241892591772584e-05,3.4303181177581076e-05,2.330950827492418e-05
40,0.1,calibrated,1.8615384615384616,3,2,1.6922075696257366e-07,0.9558206681813262,0.08506191635513538,1e-06,0.0,,,
40,0.1,calibrated,2.138461538461539,1,5,0.0049286560494284926,0.943704533987762,0.0,1e-06,0.08454496481566365,0.0030245036092135117,0.00495188338230768,0.003854830840556994
40,0.1,calibrated,2.138461538461539,2,4,3.3869992487445266e-05,0.9468943650244802,0.08454496481566365,1e-06,0.00031464198712953675,1.6970558647843475e-05,4.191784696890885e-05,2.686863102455756e-05
40,0.1,calibrated,2.138461538461539,3,2,1.5851513057718591e-07,0.9468688191680387,0.08485960680279318,1e-06,0.0,,,
40,0.1,calibrated,2.4153846153846157,1,5,0.004919376174710055,0.9348505314865367,0.0,1e-06,0.08435740739756599,0.003105749999841828,0.004944184365863182,0.0036820428480561947
40,0.1,calibrated,2.4153846153846157,2,4,3.825878425089968e-05,0.9377756231777912,0.08435740739756599,1e-06,0.000299652759720731,1.9204400161219293e-05,4.8977606987175666e-05,2.885497592571515e-05
40,0.1,calibrated,2.4153846153846157,3,2,1.4801737058256492e-07,0.9377484682037746,0.08465706015728672,1e-06,0.0,,,
40,0.1,calibrated,2.6923076923076925,1,6,0.004910086584918649,0.925826685746299,0.0,1e-06,0.08416972491355433,0.0031900069051506805,0.004936474335666577,0.0035015284309408176
40,0.1,calibrated,2.6923076923076925,2,4,4.150999714624959e-05,0.9284770372090696,0.08416972491355433,1e-06,0.00028454935568337277,2.1995925514074107e-05,5.536803461641325e-05,2.904869147005976e-05
40,0.1,calibrated,2.6923076923076925,3,2,2.45780033769627e-07,0.9284500453642874,0.0844542742692377,1e-06,0.0,,,
40,0.1,calibrated,2.9692307692307693,1,6,0.004900787185561084,0.9166233902389416,0.0,1e-06,0.0839819158685408,0.0032774820263344493,0.004928753191999289,0.0033124033079708457
40,0.1,calibrated,2.9692307692307693,2,4,4.3321494412440487e-05,0.9189875649672338,0.0839819158685408,1e-06,0.00026933109160050684,2.5490726551210642e-05,6.088802151246651e-05,2.6860121473136627e-05
40,0.1,calibrated,2.9692307692307693,3,2,4.3771323943175844e-07,0.9189630447886569,0.0842512469601413,1e-06,0.0,,,
40,0.1,calibrated,3.2461538461538466,1,6,0.004891477881709627,0.9072298301807982,0.0,1e-06,0.08379397876150842,0.0033683879218586593,0.004921020834641101,0.0031138381752719487
40,0.1,calibrated,3.2461538461538466,2,4,4.3463580343905406e-05,0.909295230810252,0.08379397876150842,1e-06,0.00025536824466326476,2.9794451327362103e-05,6.53467109734603e-05,2.18392738931198e-05
40,0.1,calibrated,3.2461538461538466,3,2,7.508256797406077e-07,0.9092758784100486,0.0840479760220948,1e-06,0.0,,,
40,0.1,calibrated,3.5230769230769234,1,7,0.0048821585769242,0.8976340398277877,0.0,1e-06,0.08360591206711274,0.0034629575313251714,0.0049132771617780065,0.002904895974471252
40,0.1,calibrated,3.5230769230769234,2,5,4.180341264947707e-05,0.8993870348874661,0.08360591206711274,1e-06,0.0002650844147679357,3.495876345043712e-05,6.857312649353247e-05,1.4196956469287542e-05
40,0.1,calibrated,3.5230769230769234,3,2,9.52254392005969e-07,0.8993754557842265,0.08384445789333357,1e-06,0.0,,,
40,0.1,calibrated,3.8000000000000003,1,7,0.004872829173362181,0.8878229746834898,0.0,1e-06,0.08341771423758577,0.003561462065062751,0.004905522070111402,0.002684325157702369
40,0.1,calibrated,3.8000000000000003,2,5,3.768701699835564e-05,0.8892474897729644,0.08341771423758577,1e-06,0.00026816279624143196,4.1309132667807845e-05,7.014770579134954e-05,7.653464377198868e-06
40,0.1,calibrated,3.8000000000000003,3,2,1.5565615172352665e-06,0.8892479572068656,0.0836406925845467,1e-06,2.646461560282695e-06,9.002256962329132e-08,1.709978983367147e-06,1.1617520299484598e-06
40,0.1,calibrated,3.8000000000000003,4,2,2.0810439715912565e-07,0.8892461978111836,0.08364239072713558,1e-06,0.0,,,
40,0.1,calibrated,4.0769230769230775,1,7,0.004863489571888535,0.8777819232671832,0.0,1e-06,0.08322938370465627,0.0036641909406716668,0.004897755454968668,0.002450807173823675
40,0.1,calibrated,4.0769230769230775,2,5,3.078047762339331e-05,0.8788601138248735,0.08322938370465627,1e-06,0.00026359950117972364,4.0915394061578606e-05,8.591886561169711e-05,1.648497732050574e-05
40,0.1,calibrated,4.0769230769230775,3,2,2.4378608266539814e-06,0.878877271194362,0.08343667675220795,1e-06,3.4476780052554946e-06,2.259605716568029e-07,2.2743573703037955e-06,1.9864331545702534e-06
40,0.1,calibrated,4.0769230769230775,4,2,5.2800530725427564e-08,0.8788748096997482,0.08343821825238854,1e-06,0.0,,,
40,0.1,calibrated,4.353846153846154,1,7,0.004854139671971347,0.8674944800105417,0.0,1e-06,0.08304091887779319,0.0037714696507868363,0.004889977210195628,0.002202750074141142
40,0.1,calibrated,4.353846153846154,2,5,3.72467723850356e-05,0.8682060358788299,0.08304091887779319,1e-06,0.00024992986576385245,3.915417177683135e-05,0.00010543093167748882,3.010946615409892e-05
40,0.1,calibrated,4.353846153846154,3,3,4.173391769168866e-06,0.86824602267331,0.08323240805023309,1e-06,4.816767436771954e-06,6.397769498965229e-07,3.2465048883970832e-06,3.5697422696101854e-06
40,0.1,calibrated,4.353846153846154,4,2,1.5832068078758255e-07,0.8682417043825226,0.0832337749238384,1e-06,0.0,,,
40,0.1,calibrated,4.630769230769231,1,8,0.004844779371676267,0.8569419924420419,0.0,1e-06,0.08285231814414006,0.0038836479146842117,0.00488218722814915,0.001938418869413885
40,0.1,calibrated,4.630769230769231,2,5,6.478051292946319e-05,0.8572640320722013,0.08285231814414006,1e-06,0.00022553225065192242,3.751811220351007e-05,0.00012872813168902426,3.961026792554629e-05
40,0.1,calibrated,4.630769230769231,3,4,6.687597194021677e-06,0.8573338326611426,0.08302788409880275,1e-06,9.250640967747826e-06,1.3312032255891874e-06,4.564348557600824e-06,5.922707074219694e-06
