n,pv_share,n_pv,setpoint_mode,scale_mode,lam,base_ok,v_min_base,v_spec_min,v_spec_max,tpf_conv,k_out,k_in,kin_per_kout,err_final,eps_med,eps_max,eps_cf_med,q_max,q_avail,q_util,v_min,v_max,eta_emp,eta2,t_tpf_ms,feas_min,dv_max_vs_nr,nr_conv,nr_iter,nr_vmin,nr_vmax,nr_qmax,t_nr_ms,cls
40,0.1,4,calibrated,load,0.2,True,0.9994966683520772,1.0050613848889876,1.0070935193102308,True,3.0,8.0,2.6666666666666665,2.398539657999521e-07,0.0012678805475196725,0.005005476152276066,0.002455490783022133,0.0862708704362639,0.0023846851648315235,36.17704832006991,1.0013242312713584,1.0070933663625616,0.007463836910036415,0.04349050830173739,0.3339999821037054,48.0023305975061,2.398618277332787e-07,True,3.0,1.0013242693699531,1.007093519310231,0.08638906478881836,2450.905399979092,converged
40,0.1,4,calibrated,load,0.47692307692307695,True,0.9933305196426443,0.9990700674919245,1.0047257900909052,True,3.0,8.0,2.6666666666666665,2.2796003484870653e-07,0.001297974271038217,0.004997851566333624,0.0023847400634711977,0.08606994099108974,0.0023846851648315235,36.092790050618916,0.9983343434614341,1.0047255621308704,0.006449256233082652,0.043754175451481164,0.31079992186278105,53.18301252283747,2.28321024087208e-07,True,2.0,0.9983343998791887,1.004725790090905,0.08634579181671143,14.42929997574538,converged
40,0.1,4,calibrated,load,0.7538461538461538,True,0.9851011097541859,0.9909224796729341,1.0043894452722557,True,3.0,9.0,3.0,2.1629413748947002e-07,0.001329399689558753,0.004990216628885056,0.002311990010693203,0.08586878581280365,0.0023846851648315235,36.00843712166517,0.9901073548138098,1.0043892289781182,0.011813813303585552,0.04528655500013933,0.31880009919404984,59.494122406018626,2.1642984981973257e-07,True,3.0,0.9901073463692938,1.0043894452722557,0.08630228042602539,11.393200024031103,converged
40,0.1,4,calibrated,load,1.0307692307692309,True,0.9767403023921956,0.9826450140386565,1.0040523457945283,True,3.0,10.0,3.3333333333333335,2.025259298044091e-07,0.0013662672925197547,0.004982571242173445,0.002243497207593313,0.08566744352338672,0.0023846851648315235,35.924005729049384,0.9817490252636978,1.0040521432685985,0.01971248875733671,0.04807785066526408,0.2597999991849065,67.28359657107983,2.027702141749188e-07,True,3.0,0.9817489793952521,1.0040523457945278,0.08625853061676025,9.693100000731647,converged
40,0.1,4,calibrated,load,1.3076923076923077,True,0.9682418168181768,0.9742314706354215,1.003714486969549,True,3.0,10.0,3.3333333333333335,1.912320024555214e-07,0.0014043568993736847,0.004974915316919549,0.002173327165670658,0.0854658326360552,0.0023846851648315235,35.839461701894436,0.9732530866173997,1.0037142957375464,0.027098499163431378,0.05204253264811291,0.24750002194195986,76.99922073086273,1.916185694561534e-07,True,3.0,0.9732530237742496,1.003714486969549,0.08621454238891602,10.54909999947995,converged
40,0.1,4,calibrated,load,1.5846153846153845,True,0.9595988541663443,0.9656751384805292,1.0033758640587263,True,3.0,11.0,3.6666666666666665,1.8012833336022993e-07,0.0014421532999670083,0.004967248762449647,0.0020994034130167793,0.08526399093527137,0.0023846851648315235,35.75482088483375,0.9646127544077939,1.003375683930393,0.035192722283930715,0.057053867981401524,0.2863999688997865,74.84366828431538,1.8068175910990192e-07,True,4.0,0.9646126867192232,1.0033758640587263,0.08617067337036133,10.681899962946773,converged
40,0.1,4,calibrated,load,1.8615384615384616,True,0.9508040355130392,0.9569687345177362,1.0030364722722827,True,3.0,11.0,3.6666666666666665,1.6922075696257366e-07,0.0014806690788084795,0.004959571482338956,0.0020218907419394896,0.08506191635513538,0.0023846851648315235,35.67008241154758,0.9558206681813262,1.0030363030515257,0.04415774487930696,0.06297882872897966,0.23259990848600864,63.7098994486321,1.6996122742529707e-07,True,4.0,0.9558205960625257,1.0030364722722827,0.08612620830535889,12.969500035978854,converged
40,0.1,4,calibrated,load,2.138461538461539,True,0.9418493301100441,0.948104332881207,1.0026963067684702,True,3.0,11.0,3.6666666666666665,1.5851513057718591e-07,0.0015207370839306776,0.00495188338230768,0.0019408497357907757,0.08485960680279318,0.0023846851648315235,35.58524540441315,0.9468688191680387,1.0026961482533396,0.0529677276596777,0.06970076434402046,0.3027999773621559,55.45969664233441,1.5945827791519207e-07,True,4.0,0.9468687284876568,1.0026963067684702,0.0860816240310669,12.096599908545613,converged
40,0.1,4,calibrated,load,2.4153846153846157,True,0.9327259717587683,0.9390732824762787,1.0023553626527713,True,3.0,11.0,3.6666666666666665,1.4801737058256492e-07,0.0015624772000015236,0.004944184365863182,0.001855448911990955,0.08465706015728672,0.0023846851648315235,35.50030897402244,0.9377484682037746,1.0023552146354007,0.061686405636430755,0.0771285129877847,0.25509996339678764,49.101260084614545,1.491741086212528e-07,True,4.0,0.9377483260517814,1.002355362652771,0.08603668212890625,11.17129996418953,converged
40,0.1,4,calibrated,load,2.6923076923076925,True,0.9234243609113462,0.9298661104989506,1.0020136349770823,True,3.0,12.0,4.0,2.45780033769627e-07,0.0016060014153323773,0.004936474335666577,0.0017652885612054387,0.0844542742692377,0.0023846851648315235,35.415272219049655,0.9284500453642874,1.002013497243639,0.07110614573775643,0.08519689277678894,0.2883999841287732,44.05084476162562,2.4696714040484125e-07,True,4.0,0.928449798397147,1.0020136349770823,0.08599162101745605,10.358199942857027,converged
40,0.1,4,calibrated,load,2.9692307692307693,True,0.9139339492459955,0.920472408692342,1.0016711187388805,True,3.0,12.0,4.0,4.3771323943175844e-07,0.00165148637644283,0.004928753191999289,0.0016696317147219912,0.0842512469601413,0.0023846851648315235,35.33013422595498,0.9189630447886569,1.001670991069507,0.08139381421374822,0.09386354399865433,0.5228000227361917,39.94247582012686,4.3771323965380304e-07,True,4.0,0.9189626074756108,1.0016711187388807,0.08594632148742676,10.065300040878356,converged
40,0.1,4,calibrated,load,3.2461538461538466,True,0.9042431029604934,0.9108806986393471,1.0013278088803772,True,3.0,12.0,4.0,7.508256797406077e-07,0.0016990911865930108,0.004921020834641101,0.0015678387245825342,0.0840479760220948,0.0023846851648315235,35.24489406887082,0.9092758784100486,1.001327691049143,0.09160544721924144,0.10310500017522756,0.242199981585145,36.535060821253474,7.508256796295854e-07,True,4.0,0.9092751310127356,1.0013278088803772,0.08590078353881836,9.929300053045154,converged
40,0.1,4,calibrated,load,3.5230769230769234,True,0.894338939501203,0.901078270892222,1.0009837002876507,True,3.0,14.0,4.666666666666667,9.52254392005969e-07,0.0017489581473878043,0.0049132771617780065,0.00145954646547027,0.08384445789333357,0.0023846851648315235,35.159550254197654,0.8993754557842265,1.0009835919860022,0.10182960187430502,0.1129133308734775,0.2929000183939934,33.66330931565277,9.563322993511036e-07,True,5.0,0.8993744994519272,1.0009837002876505,0.08585488796234131,11.87670009676367,converged
40,0.1,4,calibrated,load,3.8000000000000003,True,0.8842071314196837,0.8910509917262766,1.000638787789762,True,4.0,16.0,4.0,2.0810439715912565e-07,4.1309132667807845e-05,0.004905522070111402,7.653464377198868e-06,0.08364239072713558,0.0023846851648315235,35.074814889891286,0.8892461978111836,1.0006387882892505,0.11285581025294834,0.12329493058887736,0.3502999898046255,31.21011268536228,2.0810439727014796e-07,True,5.0,0.889246400065483,1.000638787789762,0.08580887317657471,9.797200094908476,converged
40,0.1,4,calibrated,load,4.0769230769230775,True,0.8738316685985429,0.8807830688964704,1.0002930661578544,True,4.0,16.0,4.0,5.2800530725427564e-08,4.0915394061578606e-05,0.004897755454968668,1.648497732050574e-05,0.08343821825238854,0.0023846851648315235,34.98919668009231,0.8788748096997482,1.0002930667704129,0.12484737624737616,0.13426301452763315,0.300200073979795,29.09018050296031,5.2800530725427564e-08,True,5.0,0.8788748395000667,1.0002930661578542,0.08576273918151855,12.153199990279973,converged
