n,pv_share,lam,q_init_mode,conv,k_out,k_in,eps_med,q_max,t_ms
40,0.1,0.2,cold_q0,True,3,8,0.0012678805475196725,0.0862708704362639,0.33629999961704016
40,0.1,0.2,continuation,True,3,8,0.0012678805475196725,0.0862708704362639,0.29609992634505033
40,0.1,0.47692307692307695,cold_q0,True,3,8,0.001297974271038217,0.08606994099108974,0.28879998717457056
40,0.1,0.47692307692307695,continuation,True,2,5,7.869776707270892e-05,0.08607574933687856,0.1721999142318964
40,0.1,0.7538461538461538,cold_q0,True,3,9,0.001329399689558753,0.08586878581280365,0.3019999712705612
40,0.1,0.7538461538461538,continuation,True,2,7,8.078437825606417e-05,0.08587445759950266,0.1954999752342701
40,0.1,1.0307692307692309,cold_q0,True,3,10,0.0013662672925197547,0.08566744352338672,0.5541000282391906
40,0.1,1.0307692307692309,continuation,True,3,9,4.130718194744621e-05,0.08567096351159637,0.3203999949619174
40,0.1,1.3076923076923077,cold_q0,True,3,10,0.0014043568993736847,0.0854658326360552,0.30960002914071083
40,0.1,1.3076923076923077,continuation,True,3,9,4.2680088298582135e-05,0.08546915410376882,0.2929000183939934
40,0.1,1.5846153846153845,cold_q0,True,3,11,0.0014421532999670083,0.08526399093527137,0.3133000573143363
40,0.1,1.5846153846153845,continuation,True,3,10,4.398550110924888e-05,0.08526711731977718,0.30509999487549067
40,0.1,1.8615384615384616,cold_q0,True,3,11,0.0014806690788084795,0.08506191635513538,0.32410002313554287
40,0.1,1.8615384615384616,continuation,True,3,10,4.539040801541491e-05,0.08506485105957698,0.46119990292936563
40,0.1,2.138461538461539,cold_q0,True,3,11,0.0015207370839306776,0.08485960680279318,0.45689998660236597
40,0.1,2.138461538461539,continuation,True,3,10,4.690317651878247e-05,0.08486235335942025,0.4450000124052167
40,0.1,2.4153846153846157,cold_q0,True,3,11,0.0015624772000015236,0.08465706015728672,0.2744999947026372
40,0.1,2.4153846153846157,continuation,True,3,11,4.8539592087195486e-05,0.084659622103543,0.256399973295629
40,0.1,2.6923076923076925,cold_q0,True,3,12,0.0016060014153323773,0.0844542742692377,0.26430003345012665
40,0.1,2.6923076923076925,continuation,True,3,12,5.022167590598793e-05,0.08445665552259457,0.26109989266842604
40,0.1,2.9692307692307693,cold_q0,True,3,12,0.00165148637644283,0.0842512469601413,0.2597999991849065
40,0.1,2.9692307692307693,continuation,True,3,12,5.206860891638752e-05,0.08425345145584022,0.2582001034170389
40,0.1,3.2461538461538466,cold_q0,True,3,12,0.0016990911865930108,0.0840479760220948,0.28469995595514774
40,0.1,3.2461538461538466,continuation,True,3,12,5.4083348197094486e-05,0.08405000783384811,0.35880005452781916
40,0.1,3.5230769230769234,cold_q0,True,3,14,0.0017489581473878043,0.08384445789333357,0.3600000636652112
40,0.1,3.5230769230769234,continuation,True,3,13,5.6255200470981974e-05,0.08384632255898042,0.3122000489383936
40,0.1,3.8000000000000003,cold_q0,True,4,16,4.1309132667807845e-05,0.08364239072713558,0.39790000300854445
40,0.1,3.8000000000000003,continuation,True,3,13,5.865751861524908e-05,0.08364239350491356,0.28190005104988813
40,0.1,4.0769230769230775,cold_q0,True,4,16,4.0915394061578606e-05,0.08343821825238854,0.40470005478709936
40,0.1,4.0769230769230775,continuation,True,3,14,6.130830665823329e-05,0.08343821851614312,0.29369990807026625
40,0.1,4.353846153846154,cold_q0,True,4,17,3.915417177683135e-05,0.0832337749238384,0.3599999472498894
40,0.1,4.353846153846154,continuation,True,4,16,6.157078899854616e-06,0.08323378502133172,0.36369997542351484
40,0.1,4.630769230769231,cold_q0,True,4,19,3.751811220351007e-05,0.08302910351745826,0.38970005698502064
40,0.1,4.630769230769231,continuation,True,4,17,7.0601808687826096e-06,0.08302911212187529,0.38079998921602964
40,0.1,4.907692307692308,cold_q0,True,4,19,3.429227286344174e-05,0.08282417924938557,0.38700003642588854
40,0.1,4.907692307692308,continuation,True,4,17,8.178018620323604e-06,0.082824186633325,0.4781000316143036
40,0.1,5.184615384615385,cold_q0,True,5,22,1.650403627340722e-05,0.08261900617666686,0.5416999338194728
40,0.1,5.184615384615385,continuation,True,4,18,9.494110997955913e-06,0.08261900627605986,0.435599940828979
40,0.1,5.461538461538462,cold_q0,True,5,22,1.3750179065723873e-05,0.0824135686565745,0.8165000472217798
40,0.1,5.461538461538462,continuation,True,4,20,1.1216806284090538e-05,0.08241356874267182,0.6111999973654747
40,0.1,5.7384615384615385,cold_q0,True,5,25,1.4677599757858275e-05,0.08220787161484437,0.5422999383881688
40,0.1,5.7384615384615385,continuation,True,4,20,1.3136674287756504e-05,0.08220787168865415,0.47119997907429934
40,0.1,6.015384615384616,cold_q0,True,5,26,2.7437822573559833e-05,0.08200191267473488,0.5662000039592385
40,0.1,6.015384615384616,continuation,True,4,21,1.5529476297494026e-05,0.08200191273789839,0.568700022995472
40,0.1,6.292307692307693,cold_q0,True,5,29,4.4385965695119766e-05,0.08179568942670698,0.5372000159695745
40,0.1,6.292307692307693,continuation,True,4,23,1.8266173639589155e-05,0.08179568948029904,0.4323000321164727
40,0.1,6.56923076923077,cold_q0,True,6,32,2.569642380037964e-05,0.08158919943636479,0.5806999979540706
40,0.1,6.56923076923077,continuation,True,5,25,1.2101321864699513e-05,0.08158919943661515,0.4895000020042062
40,0.1,6.846153846153847,cold_q0,True,6,36,3.758199580883753e-05,0.08138244019982382,0.6121000042185187
40,0.1,6.846153846153847,continuation,True,5,28,1.4853642372755062e-05,0.08138244020002564,0.4988000728189945
40,0.1,7.1230769230769235,cold_q0,True,6,39,5.522679195336466e-05,0.08117540921589368,0.6571999983862042
40,0.1,7.1230769230769235,continuation,True,5,29,1.845526361230422e-05,0.0811754092160498,0.5306999664753675
40,0.1,7.4,cold_q0,True,7,45,4.920540078361316e-05,0.0809681039322014,0.9014999959617853
40,0.1,7.4,continuation,True,5,31,2.3551434359537123e-05,0.08096810393231657,0.9874999523162842
40,0.1,7.676923076923077,cold_q0,True,7,52,7.75881424855642e-05,0.08076052175901073,0.9707999415695667
40,0.1,7.676923076923077,continuation,True,6,37,1.0910563625350568e-05,0.08076052175900976,0.8111000061035156
40,0.1,7.953846153846155,cold_q0,True,8,59,5.544356026881171e-05,0.08055266006858047,1.1186000192537904
40,0.1,7.953846153846155,continuation,True,6,40,1.6465619789839845e-05,0.0805526600685814,0.7732000667601824
40,0.1,8.23076923076923,cold_q0,True,9,73,7.386233343103471e-05,0.08034451619433909,1.2750000460073352
40,0.1,8.23076923076923,continuation,True,7,49,1.79273407901432e-05,0.08034451619434002,0.8580000139772892
40,0.1,8.507692307692308,cold_q0,True,11,94,7.038013127652951e-05,0.08013608743012027,1.5759000089019537
40,0.1,8.507692307692308,continuation,True,8,60,1.9288643918864144e-05,0.08013608743011928,1.1881999671459198
40,0.1,8.784615384615384,cold_q0,True,14,135,8.350612157211739e-05,0.0799273710293822,3.2558999955654144
40,0.1,8.784615384615384,continuation,True,10,84,2.4627660251652254e-05,0.07992737102938217,1.409200020134449
40,0.1,9.061538461538461,cold_q0,True,22,248,0.00012324120497905538,0.07971836420440613,3.840200020931661
