n,pv_share,lam,warm,adaptive,conv,k_out,k_in,t_ms,v_min
40,0.1,6.846153846153847,False,True,True,8,8,0.5975000094622374,0.7593337974469689
40,0.1,6.846153846153847,True,False,True,6,36,0.7007999811321497,0.7561613319623861
40,0.1,6.846153846153847,True,True,True,15,22,1.1004999978467822,0.7561612414841494
40,0.1,7.4,False,False,True,7,84,1.159299979917705,0.7251036481621451
40,0.1,7.4,False,True,True,9,9,0.6196999456733465,0.7286087569765735
40,0.1,7.4,True,False,True,7,45,0.8337999461218715,0.7251028100636293
40,0.1,7.4,True,True,True,15,22,1.2448999332264066,0.7251018450946556
40,0.1,7.953846153846155,False,False,True,9,125,1.767299952916801,0.6900879432782029
40,0.1,7.953846153846155,False,True,True,10,10,0.6149000255391002,0.693978436981042
40,0.1,7.953846153846155,True,False,True,8,59,0.9060000302270055,0.690087345062789
40,0.1,7.953846153846155,True,True,True,17,25,1.7449000151827931,0.6900882617001898
40,0.1,8.507692307692308,False,False,True,13,209,2.5132999289780855,0.6490941125201293
40,0.1,8.507692307692308,False,True,True,12,12,0.8314999286085367,0.653449166923122
40,0.1,8.507692307692308,True,False,True,11,94,1.4720999170094728,0.6490934602134686
40,0.1,8.507692307692308,True,True,True,24,42,2.210299950093031,0.6490929743223868
40,0.1,9.061538461538461,False,False,True,28,587,8.71630001347512,0.5973918130625184
40,0.1,9.061538461538461,False,True,True,14,14,1.1560000712051988,0.6023610652427739
40,0.1,9.061538461538461,True,False,True,22,248,3.5210000351071358,0.5973932040070686
40,0.1,9.061538461538461,True,True,True,46,89,3.7329000188037753,0.5973934136623933
40,0.1,9.615384615384615,False,False,False,60,8551,103.63889997825027,0.5195953640487043
40,0.1,9.615384615384615,False,True,True,22,22,1.6871000407263637,0.5203915946038519
40,0.1,9.615384615384615,True,False,False,60,8245,88.24179996736348,0.575798945194048
40,0.1,9.615384615384615,True,True,False,60,13697,147.81929994933307,0.726708348581417
40,0.25,0.2,False,False,True,3,9,0.24309998843818903,1.00137772784278
40,0.25,0.2,False,True,True,3,5,0.20290003158152103,1.001377718571435
40,0.25,0.2,True,False,True,3,8,0.20520004909485579,1.0013777271391846
40,0.25,0.2,True,True,True,3,5,0.33799989614635706,1.0013777728738593
40,0.25,0.7538461538461538,False,False,True,3,12,0.26290002278983593,0.9893601534203069
40,0.25,0.7538461538461538,False,True,True,3,6,0.22120005451142788,0.9893602849030507
40,0.25,0.7538461538461538,True,False,True,3,9,0.22040004841983318,0.9893601518143128
40,0.25,0.7538461538461538,True,True,True,3,6,0.188700039871037,0.9893606130436808
40,0.25,1.3076923076923077,False,False,True,3,12,0.26739994063973427,0.9724776340475664
40,0.25,1.3076923076923077,False,True,False,60,90,3.688200027681887,0.9733965073294603
40,0.25,1.3076923076923077,True,False,True,3,10,0.2218000590801239,0.9724776302306732
40,0.25,1.3076923076923077,True,True,True,4,7,0.27980003505945206,0.9724775224380601
40,0.25,1.8615384615384616,False,False,True,3,15,0.30479999259114265,0.9550142888682451
40,0.25,1.8615384615384616,False,True,False,60,90,5.0134999910369515,0.9528616455653948
40,0.25,1.8615384615384616,True,False,True,3,11,0.36090007051825523,0.9550142619405776
40,0.25,1.8615384615384616,True,True,True,5,7,0.4928000271320343,0.9550139646545585
40,0.25,2.4153846153846157,False,False,True,4,20,1.1530000483617187,0.9369067660257533
40,0.25,2.4153846153846157,False,True,False,60,90,4.965299973264337,0.9328278671943343
40,0.25,2.4153846153846157,True,False,True,4,14,0.3741999389603734,0.9369067744624262
40,0.25,2.4153846153846157,True,True,True,5,7,0.36319997161626816,0.9369078159905115
40,0.25,2.9692307692307693,False,False,True,4,24,0.49159990157932043,0.9180820764641794
40,0.25,2.9692307692307693,False,True,False,60,90,5.348399979993701,0.9113785197163653
40,0.25,2.9692307692307693,True,False,True,4,15,0.40570006240159273,0.9180821334941967
40,0.25,2.9692307692307693,True,True,True,7,10,0.5920999683439732,0.9180820303627151
40,0.25,3.5230769230769234,False,False,True,4,28,0.5052000051364303,0.8984497831764657
40,0.25,3.5230769230769234,False,True,False,60,90,4.991200054064393,0.8883562426993102
40,0.25,3.5230769230769234,True,False,True,4,17,0.3720000386238098,0.8984499182159088
40,0.25,3.5230769230769234,True,True,True,7,10,0.47119997907429934,0.8984495066912931
40,0.25,4.0769230769230775,False,False,True,4,28,0.4594000056385994,0.877899288732669
40,0.25,4.0769230769230775,False,True,False,60,89,4.0336999809369445,0.8927648187733825
40,0.25,4.0769230769230775,True,False,True,4,19,0.4016000311821699,0.8778994007568856
40,0.25,4.0769230769230775,True,True,True,9,13,1.1770999990403652,0.8779003814699233
40,0.25,4.630769230769231,False,False,True,5,40,0.9066000347957015,0.8562945653233831
40,0.25,4.630769230769231,False,True,False,60,80,4.605800029821694,0.8351456994070028
40,0.25,4.630769230769231,True,False,True,5,23,0.4836000734940171,0.8562943967854508
40,0.25,4.630769230769231,True,True,True,9,13,0.9321999968960881,0.8562949202487701
40,0.25,5.184615384615385,False,False,True,5,40,0.6491000531241298,0.8334563428300897
40,0.25,5.184615384615385,False,True,False,60,80,4.023200017400086,0.8050628949766162
40,0.25,5.184615384615385,True,False,True,5,25,0.6434000097215176,0.8334560026495115
40,0.25,5.184615384615385,True,True,True,11,16,0.7929999846965075,0.8334556386545429
40,0.25,5.7384615384615385,False,False,True,6,54,0.7910000858828425,0.8091517856860466
40,0.25,5.7384615384615385,False,True,False,60,80,4.221700015477836,0.7718206429471959
40,0.25,5.7384615384615385,True,False,True,6,31,0.6705999840050936,0.8091519916758516
40,0.25,5.7384615384615385,True,True,True,11,16,0.8437000215053558,0.8091512640042028
40,0.25,6.292307692307693,False,False,True,6,60,1.06969999615103,0.7830655719393479
