nodes,pv_ratio,n_pv,rx,mode,variant,load_factor,r_ohm_km,x_ohm_km,z_abs_ohm_km,z_rel,line_factor,decoupled,exact_sens,skipped,nr_conv,nr_iter,nr_v_min,nr_err,t_inner_s,inner_iter_pq,inner_conv_pq,v_min,eta_emp,eta_inf,eta_1,eta_2,eta_thev,eta_fit,eta_fit_r2,eta_fit_n,eta_fit_method,res_hist,kappa_emp,x_kk_mean,x_kk_min,rx_diag_mean,diag_dom_min,offdiag_ratio,cond_xpp,rho_jacobi,t_outer_s,outer_iter,inner_total,outer_conv,v_err_final,q_max_final,sens_error_first,sens_error_median,sens_error_max,v_err_hist,q_max_hist,sens_err_hist,error
40,0.0,0.0,0.1,const_x,coupled,2.0,0.06513333333333333,0.6513333333333333,0.6545818987890073,0.9922257458316257,3.0,False,False,,True,3.0,0.9970979574629394,,0.0002838000073097646,7.0,True,0.9970979574629393,0.012921229626302341,0.014283036499681288,0.027213388218402666,0.0141528271384462,0.004535564703067115,0.012892054247503231,0.9999999881556324,4.0,logfit,1.423847e-02;1.872623e-04;2.428298e-06;3.134370e-08;4.039819e-10;5.203616e-12;6.685088e-14,0.012917762209532557,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0.1468,const_x,coupled,2.0,0.09561573333333334,0.6513333333333333,0.6583141192257554,0.9978831054581468,3.0,False,False,,True,3.0,0.9964367402505818,,0.0002096000243909657,7.0,True,0.996436740250582,0.01301067447832967,0.014383544218706346,0.027404885003896148,0.014252418592509399,0.004567480833982695,0.0129812031873193,0.9999999879689525,4.0,logfit,1.432842e-02;1.896349e-04;2.476103e-06;3.218193e-08;4.176549e-10;5.416890e-12;7.002431e-14,0.012916199441787119,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0.2154,const_x,coupled,2.0,0.1402972,0.6513333333333333,0.6662720281078526,1.0099458314369842,3.0,False,False,,True,3.0,0.9954660431610929,,0.000208500016015023,7.0,True,0.9954660431610948,0.013191431660795018,0.014585821289231162,0.027790282356062544,0.014452851631609524,0.004631713726010421,0.01316141882363349,0.9999999876747497,4.0,logfit,1.451469e-02;1.945955e-04;2.576198e-06;3.394798e-08;4.466925e-10;5.873858e-12;7.692159e-14,0.012913903264984997,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0.3162,const_x,coupled,2.0,0.20595159999999998,0.6513333333333333,0.6831187105135323,1.0354823029551987,3.0,False,False,,True,3.0,0.9940365087815034,,0.0002269999822601676,7.0,True,0.9940365087815031,0.013560534152558475,0.014997667385362063,0.028574970380943927,0.014860943188773472,0.004762495063490658,0.01352959954745081,0.999999987461905,4.0,logfit,1.490145e-02;2.051015e-04;2.791290e-06;3.781146e-08;5.114452e-10;6.913471e-12;9.297670e-14,0.012910615052852414,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0.4642,const_x,coupled,2.0,0.3023489333333333,0.6513333333333333,0.7180877304333472,1.0884889044746262,3.0,False,False,,True,3.0,0.9919306219546945,,0.00034520000917837024,7.0,True,0.9919306219546941,0.0143099994839855,0.015832413309556835,0.030165407043298505,0.015688079265189357,0.005027567840549752,0.014252535534868478,0.9999998285892754,5.0,logfit,1.569495e-02;2.275220e-04;3.267590e-06;4.670985e-08;6.667181e-10;9.510172e-12;1.346785e-13,0.012883406835324709,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0.6813,const_x,coupled,2.0,0.4437534,0.6513333333333333,0.7881320898952605,1.1946632685029805,3.0,False,False,,True,3.0,0.9888263289901476,,0.0003236000193282962,7.0,True,0.9888263289901482,0.015795872752642087,0.017486028229132835,0.03331603014582776,0.017326619229071465,0.005552671690971295,0.015723211023286585,0.9999996881439954,5.0,logfit,1.727578e-02;2.756553e-04;4.369970e-06;6.895484e-08;1.086419e-09;1.710499e-11;2.666279e-13,0.012868732563936532,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,1.0,const_x,coupled,2.0,0.6513333333333333,0.6513333333333333,0.921124433625676,1.396255197170629,3.0,False,False,,True,3.0,0.984235947245225,,0.0003721999819390476,7.0,True,0.9842359472452227,0.01861838867577288,0.02062775975793567,0.03930195336132995,0.020439709589342197,0.006550325560221664,0.018516160699367144,0.999999365980248,5.0,logfit,2.027781e-02;3.797649e-04;7.096141e-06;1.319816e-07;2.450987e-09;4.547952e-11;8.320047e-13,0.012846492985465514,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,1.4678,const_x,coupled,2.0,0.9560270666666666,0.6513333333333333,1.1568158294691433,1.7535199969757052,3.0,False,False,,True,3.0,0.9774242225643286,,0.00026729999808594584,8.0,True,0.977424222564205,0.023661174899673423,0.026268195228489163,0.05004864298747816,0.026028724796443675,0.008341440497913017,0.023542534937899963,0.9999990417091301,6.0,logfit,2.562995e-02;6.066529e-04;1.441609e-05;3.410217e-07;8.054563e-09;1.901453e-10;4.485639e-12;1.037018e-13,0.01282651566096011,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,2.1544,const_x,coupled,2.0,1.403232533333333,0.6513333333333333,1.5470283299656133,2.3450103667128217,3.0,False,False,,True,3.0,0.9672608598771267,,0.0002449000021442771,9.0,True,0.9672608598756427,0.03224725477649726,0.03587098031176175,0.06834477479774231,0.035543967394489194,0.011390795799623725,0.03218167621169126,0.9999999775850092,6.0,logfit,3.460697e-02;1.105934e-03;3.581009e-05;1.154615e-06;3.716879e-08;1.195915e-09;3.847164e-11;1.236344e-12;3.864503e-14,0.012839589025524168,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,3.1623,const_x,coupled,2.0,2.0597114,0.6513333333333333,2.160242153648769,3.2745297204925747,3.0,False,False,,True,3.0,0.9519614031016204,,0.0002547000185586512,9.0,True,0.9519614030765596,0.0463423329361898,0.05171255111791818,0.09852762956723535,0.05124112067320485,0.016421271594539242,0.046019768796857416,0.9999956525590382,7.0,logfit,4.903859e-02;2.220303e-03;1.032595e-04;4.785653e-06;2.214361e-07;1.024056e-08;4.734653e-10;2.184653e-11;9.662826e-13,0.01273603303140203,,,,,,,,,,,,,,,,,,,,
