n_bus,seed,n_pv,share,placement,variant,lam,rho,sp_mode,delta,tau,q_lim_pu,pv_p_factor,v_min_base,eta_pq,k_in_pq,depth_pv_mean,r_ohm,x_ohm,cond,rho_jacobi,min_diag_off,offdiag_share,coupling_mean,xkk_mean,converged,conv_share,k_out,k_in,k_ratio,t_pre_ms,t_solve_ms,t_wall_ms,t_per_scen_ms,gflops,n_gemm,pv_v_err,v_min,v_max,q_max,q_med,q_sum,sat_share,eta_final,eps_lin_meas,eps_lin_pred,hist_err,hist_kin,nr_conv,nr_iter,t_nr_ms,err_vm,err_va_deg,err_q_pu,exp
1000,2,6,0.006006006006006006,random,coupled,1.0,7.73,delta,0.005,1,,0.0,0.9652867177121642,0.0294462860921462,7,119.33333333333333,0.6416530571848671,0.08300815746246663,21.972316526256012,1.3642258425472291,0.499999999999943,0.4098703752115383,0.16783343032441442,1.857307523222989,True,1.0,10,16,1.6,176.59089999870048,23.79339999970398,206.51159999761148,23.79339999970398,5.368889187824746,16,4.014301885346683e-07,0.9675092416088418,0.9998449344138125,0.015356281203165529,0.0011979541119414643,0.024090702306837256,,,0.19533909261097984,0.1561203571611485,4.992980e-03;6.832142e-04;2.282991e-04;1.039757e-05;6.773438e-05;3.276147e-06;2.326593e-05;1.152009e-06;8.015827e-06;4.014302e-07,2;2;2;1;2;1;2;1;2;1,,,,,,,E1
1000,2,6,0.006006006006006006,random,decoupled,1.0,7.73,delta,0.005,1,,0.0,0.9652867177121642,0.0294462860921462,7,119.33333333333333,0.6416530571848671,0.08300815746246663,21.972316526256012,1.3642258425472291,0.499999999999943,0.4098703752115383,0.16783343032441442,1.857307523222989,False,0.0,60,121,2.0166666666666666,184.4191000018327,179.18099999951664,369.87070000031963,179.18099999951664,5.3915591943487655,121,0.0038228535784566864,0.9675092416088418,0.9998448797355696,0.015367205662424069,0.0014606782244461266,0.024881138638906435,,,0.5690862342806963,0.1561203571611485,4.992980e-03;6.364768e-03;2.904008e-03;3.212782e-03;3.028609e-03;3.107272e-03;3.161329e-03;3.178532e-03;3.282396e-03;3.283368e-03;3.388698e-03;3.385014e-03;3.479245e-03;3.473563e-03;3.554561e-03;3.547344e-03;3.616044e-03;3.607355e-03;3.665490e-03;3.655410e-03;3.704777e-03;3.693457e-03;3.735688e-03;3.723321e-03;3.759814e-03;3.746603e-03;3.778523e-03;3.764654e-03;3.792952e-03;3.778588e-03;3.804029e-03;3.789304e-03;3.812501e-03;3.797520e-03;3.818958e-03;3.803802e-03;3.823863e-03;3.808594e-03;3.827578e-03;3.812241e-03;3.830384e-03;3.815012e-03;3.832498e-03;3.817111e-03;3.834084e-03;3.818699e-03;3.835271e-03;3.819898e-03;3.836157e-03;3.820800e-03;3.836814e-03;3.821477e-03;3.837300e-03;3.821985e-03;3.837658e-03;3.822363e-03;3.837919e-03;3.822645e-03;3.838109e-03;3.822854e-03,2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,,,,,,,E1
1000,3,6,0.006006006006006006,random,coupled,1.0,7.73,delta,0.005,1,,0.0,0.9624319979237107,0.031677636907714316,7,84.16666666666667,0.6416530571848671,0.08300815746246663,70.70363193356262,2.4547677069521705,0.33333333333327625,0.5810427599991654,0.3546436027742707,1.3099724849551093,True,1.0,10,16,1.6,213.68380000058096,32.16270000120858,252.17479999992065,32.16270000120858,3.9718098292494024,16,5.445568700412906e-07,0.9624319979224896,0.9998211666756814,0.013651468809732259,5.583628607303972e-05,0.020726543337109393,,,0.1917534730788756,0.1557309829967091,4.991451e-03;6.808216e-04;2.345115e-04;1.583485e-05;6.551231e-05;4.562146e-06;2.237225e-05;1.578681e-06;7.646732e-06;5.445569e-07,2;2;2;1;2;1;2;1;2;1,,,,,,,E1
1000,3,6,0.006006006006006006,random,decoupled,1.0,7.73,delta,0.005,1,,0.0,0.9624319979237107,0.031677636907714316,7,84.16666666666667,0.6416530571848671,0.08300815746246663,70.70363193356262,2.4547677069521705,0.33333333333327625,0.5810427599991654,0.3546436027742707,1.3099724849551093,False,0.0,60,150,2.5,198.547600000893,230.97229999984847,435.17960000099265,230.97229999984847,5.185042535406998,150,0.007306108488793761,0.9624319979224896,0.9998211209821561,0.013660666112201469,0.0015519044007815505,0.027106024715429316,,,0.49877587359369246,0.1557309829967091,4.991451e-03;7.040940e-03;4.279468e-03;5.437043e-03;7.342978e-03;7.194030e-03;4.248142e-03;4.557487e-03;7.633380e-03;7.204626e-03;4.248211e-03;4.477410e-03;7.673559e-03;7.235637e-03;4.241678e-03;4.492843e-03;7.701191e-03;7.266829e-03;4.170794e-03;4.435150e-03;7.653665e-03;7.269914e-03;4.261724e-03;4.563562e-03;7.754265e-03;7.306368e-03;4.018398e-03;4.279557e-03;7.509306e-03;7.242853e-03;4.567411e-03;4.934350e-03;7.990040e-03;7.366538e-03;3.463619e-03;3.565322e-03;6.715723e-03;6.932394e-03;6.170123e-03;6.428661e-03;7.397664e-03;7.088368e-03;5.264103e-03;5.566626e-03;8.152452e-03;7.361551e-03;3.269000e-03;3.251973e-03;6.335350e-03;6.724397e-03;6.811269e-03;6.852590e-03;6.349995e-03;6.491885e-03;7.264750e-03;7.003326e-03;5.645925e-03;5.897395e-03;8.021023e-03;7.306108e-03,2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3,,,,,,,E1
1000,4,6,0.006006006006006006,random,coupled,1.0,7.73,delta,0.005,1,,0.0,0.9649348627287344,0.029759155503896566,7,39.333333333333336,0.6416530571848671,0.08300815746246663,146.02092944441333,0.3746343246326918,0.9999999999999688,0.18012705975779683,0.030511986965762673,0.6121851612856765,True,1.0,9,15,1.6666666666666667,187.89119999928516,19.75539999693865,214.48579999923822,19.75539999693865,6.062146047083751,15,9.447285863606325e-07,0.9700624784626672,1.0046803706647722,0.3942061740038191,0.01189942434879146,0.486017992937918,,,0.22443654279335615,0.15528563101101905,4.999708e-03;7.652761e-04;2.820188e-04;2.354836e-05;8.524337e-05;3.279545e-05;3.205801e-06;1.138609e-05;9.447286e-07,2;2;2;1;2;2;1;2;1,,,,,,,E1
1000,4,6,0.006006006006006006,random,decoupled,1.0,7.73,delta,0.005,1,,0.0,0.9649348627287344,0.029759155503896566,7,39.333333333333336,0.6416530571848671,0.08300815746246663,146.02092944441333,0.3746343246326918,0.9999999999999688,0.18012705975779683,0.030511986965762673,0.6121851612856765,True,1.0,13,22,1.6923076923076923,207.94719999685185,32.24409999893396,246.82449999818346,32.24409999893396,5.447451658002772,22,7.922819694750061e-07,0.9700626327439122,1.0046797979431719,0.3945740428505978,0.011906183955848176,0.4864584677920558,,,0.22558057283378588,0.15528563101101905,4.999708e-03;3.882336e-03;1.220226e-03;4.915699e-04;1.849561e-04;8.365773e-05;4.333969e-05;2.434586e-05;1.099088e-05;5.844964e-06;3.279144e-06;1.486402e-06;7.922820e-07,2;2;1;2;2;1;2;2;1;2;2;1;2,,,,,,,E1
1000,0,8,0.008008008008008008,random,coupled,1.0,7.73,delta,0.005,1,,0.0,0.9644118402013384,0.030100217822774097,7,82.75,0.6416530571848671,0.08300815746246663,99.33927089629415,1.5377472691594192,0.49999999999985284,0.5240849856796764,0.15769280251369652,1.2879234431289257,True,1.0,10,16,1.6,176.1681000025419,23.129799999878742,205.4156000012881,23.129799999878742,5.522924020124242,16,6.01159302227039e-07,0.966882173198363,1.0030679856171254,0.06531203329312178,7.732576840730147e-05,0.0979304235675509,,,0.21728109317710392,0.15555638375243866,4.998251e-03;7.374917e-04;2.507474e-04;1.563863e-05;8.099216e-05;4.665821e-06;2.904684e-05;1.683139e-06;1.048234e-05;6.011593e-07,2;2;2;1;2;1;2;1;2;1,True,7.0,68.45629999952507,8.410104231915128e-07,0.002643407702826429,6.423073790241818e-05,E1
1000,0,8,0.008008008008008008,random,decoupled,1.0,7.73,delta,0.005,1,,0.0,0.9644118402013384,0.030100217822774097,7,82.75,0.6416530571848671,0.08300815746246663,99.33927089629415,1.5377472691594192,0.49999999999985284,0.5240849856796764,0.15769280251369652,1.2879234431289257,False,0.0,60,121,2.0166666666666666,207.1801999991294,186.71589999939897,399.8707999999169,186.71589999939897,5.173983404750799,121,0.00507868619819396,0.966882173198363,1.0030680083097556,0.06537624634217164,0.001303662924599894,0.10058133084732271,,,0.6684496753732421,0.15555638375243866,4.998251e-03;6.626441e-03;3.721959e-03;3.959356e-03;3.976801e-03;4.102083e-03;4.246458e-03;4.334299e-03;4.477267e-03;4.540167e-03;4.658564e-03;4.700779e-03;4.793293e-03;4.818713e-03;4.889576e-03;4.902066e-03;4.956534e-03;4.959483e-03;5.002268e-03;4.998369e-03;5.033175e-03;5.024428e-03;5.053961e-03;5.041792e-03;5.067943e-03;5.053339e-03;5.077391e-03;5.061029e-03;5.083833e-03;5.066173e-03;5.088287e-03;5.069641e-03;5.091426e-03;5.072006e-03;5.093690e-03;5.073646e-03;5.095371e-03;5.074805e-03;5.096658e-03;5.075647e-03;5.097678e-03;5.076276e-03;5.098512e-03;5.076761e-03;5.099214e-03;5.077148e-03;5.099821e-03;5.077466e-03;5.100356e-03;5.077736e-03;5.100836e-03;5.077969e-03;5.101272e-03;5.078176e-03;5.101671e-03;5.078362e-03;5.102039e-03;5.078531e-03;5.102380e-03;5.078686e-03,2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,,,,,,,E1
1000,1,8,0.008008008008008008,random,coupled,1.0,7.73,delta,0.005,1,,0.0,0.9654475774238963,0.0291236421307704,7,95.125,0.6416530571848671,0.08300815746246663,30.00679984492507,0.9791220069047131,0.49999999999976064,0.39561971995067874,0.10115756322670452,1.4805283084910994,True,1.0,10,16,1.6,240.06220000228495,26.52459999808343,273.19989999887184,26.52459999808343,4.816062372636357,16,6.845201309113591e-07,0.9705072624776768,1.0000234861203423,0.024221194762337826,0.0014132299530886015,0.0433839103109177,,,0.20482020837676357,0.15580370041899516,4.993422e-03;7.165025e-04;2.540975e-04;1.919507e-05;7.331579e-05;5.369889e-06;2.572851e-05;1.929019e-06;9.054814e-06;6.845201e-07,2;2;2;1;2;1;2;1;2;1,,,,,,,E1
1000,1,8,0.008008008008008008,random,decoupled,1.0,7.73,delta,0.005,1,,0.0,0.9654475774238963,0.0291236421307704,7,95.125,0.6416530571848671,0.08300815746246663,30.00679984492507,0.9791220069047131,0.49999999999976064,0.39561971995067874,0.10115756322670452,1.4805283084910994,True,1.0,35,63,1.8,182.05850000231294,97.60439999809023,285.4399999996531,97.60439999809023,5.153379396931304,63,9.59045494131061e-07,0.9705077841008983,1.000023221944806,0.024240534933747518,0.0014135048548468692,0.04340874299766793,,,0.2057716663790514,0.15580370041899516,4.993422e-03;7.289023e-03;2.309245e-03;1.236366e-03;1.114544e-03;5.232429e-04;5.206935e-04;2.396627e-04;2.400179e-04;1.099392e-04;1.102970e-04;7.007107e-05;5.787149e-05;4.785693e-05;4.329985e-05;3.307221e-05;2.831880e-05;2.259833e-05;1.862463e-05;1.545654e-05;1.279160e-05;1.168122e-05;9.024115e-06;7.276670e-06;6.065517e-06;5.010568e-06;4.157959e-06;3.800521e-06;2.943216e-06;2.365183e-06;1.973064e-06;1.629780e-06;1.352811e-06;1.237305e-06;9.590455e-07,2;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;1;1,,,,,,,E1
