tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
1,0.04351340001448989,0.030626599909737706,0.7038429518157419,43.51340001448989,30.626599909737706,True,True
10,0.13529889995697886,0.21456620004028082,1.585868030771179,13.529889995697886,21.456620004028082,True,True
50,0.15063729998655617,0.9978548999642953,6.6242218896206335,3.0127459997311234,19.957097999285907,True,True
100,0.2004868999356404,2.0065403999760747,10.008336707386903,2.004868999356404,20.065403999760747,True,True
500,0.7285948999924585,10.15367819997482,13.935972102028051,1.457189799984917,20.30735639994964,True,True
1000,1.5245712000178173,20.22664720006287,13.26710566212092,1.5245712000178173,20.22664720006287,True,True
5000,15.225959699950181,102.31505839992315,6.7197773024617895,3.0451919399900365,20.463011679984632,True,True
10000,30.894603200023994,207.05357799993362,6.7019335597025185,3.089460320002399,20.705357799993365,True,True
50000,141.36561969993636,1132.654774500057,8.0122364752069,2.827312393998727,22.653095490001142,True,True
100000,342.82027659995947,2449.445421500015,7.144984088436223,3.428202765999595,24.49445421500015,True,True
