tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
1,0.2722975999349728,0.03623399999924004,0.13306764366594878,272.2975999349728,36.23399999924004,True,True
10,0.48744090006221086,0.2993638999760151,0.6141542491362707,48.744090006221086,29.93638999760151,True,True
50,1.273541200091131,1.448095600004308,1.137062232380614,25.47082400182262,28.96191200008616,True,True
100,2.408434799988754,2.8275229999562725,1.1740085303407322,24.08434799988754,28.275229999562725,True,True
500,12.584859500057064,13.808495300007053,1.0972307875145082,25.169719000114128,27.616990600014105,True,True
1000,33.67733630002476,27.125422200071625,0.805450346738132,33.67733630002476,27.125422200071625,False,True
5000,160.47697109996807,138.9975266000256,0.8661524806162874,32.095394219993615,27.799505320005117,False,True
10000,299.1848203999689,267.65985239995643,0.8946304563250639,29.91848203999689,26.765985239995643,False,True
50000,1703.7463044999167,2576.3803827000083,1.512185456188694,34.074926089998335,51.52760765400017,False,True
100000,4507.621496399981,4819.386989700026,1.069164079892031,45.07621496399981,48.19386989700026,False,True
