tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
10,0.007525000022724271,0.1970049999654293,26.18006636152909,0.7525000022724271,19.70049999654293,True,True
50,0.004963899962604046,0.9404389000264928,189.45565122411162,0.09927799925208092,18.808778000529855,True,True
100,0.006052199983969331,1.8240808999398723,301.3913791301308,0.06052199983969331,18.240808999398723,True,True
500,0.04079950007144362,9.370842100004666,229.68031675867286,0.08159900014288723,18.74168420000933,True,True
1000,0.06323069997597486,18.33998559997417,290.0487517446847,0.06323069997597486,18.33998559997417,True,True
5000,0.42927560000680387,90.06763050006703,209.8130676391565,0.08585512000136078,18.013526100013404,True,True
10000,0.9511044999817386,183.2361627999926,192.6561832096376,0.09511044999817386,18.32361627999926,True,True
50000,4.683667199919,911.4455928999232,194.6008445936735,0.09367334399838,18.228911857998465,True,True
100000,9.636192900012247,1823.3882389001083,189.22288686207088,0.09636192900012247,18.23388238900108,True,True
