tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
1,0.40628380002453923,0.040230800048448145,0.09902142306933782,406.28380002453923,40.230800048448145,True,True
10,0.6732454999582842,0.272118299966678,0.40418881371437176,67.32454999582842,27.211829996667802,True,True
50,1.030429199920036,1.3571268999949098,1.3170501186303984,20.608583998400718,27.142537999898195,True,True
100,1.487223400035873,2.6285633000079542,1.7674300309856281,14.87223400035873,26.285633000079542,True,True
500,7.279924000031315,12.921328100026585,1.7749262354896842,14.55984800006263,25.84265620005317,True,True
1000,17.84591959998943,26.15522289997898,1.4656136240798974,17.84591959998943,26.15522289997898,True,True
5000,94.4212004999863,129.84771200001705,1.3751965799252457,18.88424009999726,25.969542400003412,True,True
10000,216.56503420008812,259.0870860000141,1.1963477250932353,21.656503420008814,25.908708600001408,True,True
50000,1023.5273196001071,1373.4668512999779,1.3418956436224803,20.47054639200214,27.469337025999558,True,True
100000,2008.2420329999877,2842.7653211000143,1.4155491591087674,20.082420329999877,28.42765321100014,True,True
