tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
10,0.0018585999496281147,0.1979504000628367,106.50511429446901,0.18585999496281147,19.79504000628367,True,True
50,0.004938500002026558,0.8984566000290215,181.9290472127836,0.09877000004053116,17.96913200058043,True,True
100,0.008845800068229437,1.7951127999695018,202.93391057037638,0.08845800068229437,17.951127999695018,True,True
500,0.02678429998923093,9.468045799992979,353.4923744058931,0.05356859997846186,18.936091599985957,True,True
1000,0.043894800008274615,17.818808499956504,405.94349436829594,0.043894800008274615,17.818808499956504,True,True
5000,0.33307669998612255,92.09564819990192,276.49982182403943,0.06661533999722451,18.419129639980383,True,True
10000,0.5843849000521004,182.61688959994353,312.49419617731814,0.05843849000521004,18.261688959994352,True,True
50000,2.827424000017345,906.0997507999418,320.46829580366557,0.0565484800003469,18.121995015998834,True,True
100000,6.372558000031859,1808.7586492000846,283.8355726524642,0.06372558000031858,18.087586492000845,True,True
