tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
10,0.002691800007596612,0.19096040003933012,70.94152593075819,0.2691800007596612,19.096040003933012,True,True
50,0.008579100016504526,0.9128172999480739,106.40012334533813,0.17158200033009052,18.25634599896148,True,True
100,0.0160648999735713,1.8131560999900103,112.86445001044954,0.160648999735713,18.131560999900103,True,True
500,0.06313509994652122,9.550964900059626,151.2782098729518,0.12627019989304245,19.10192980011925,True,True
1000,0.09496309992391616,18.2570653000148,192.2543105126333,0.09496309992391616,18.2570653000148,True,True
5000,0.7264578999020159,93.58377310005017,128.82201860929956,0.1452915799804032,18.716754620010033,True,True
10000,1.411740000010468,184.37964599998668,130.60453482838165,0.14117400000104682,18.437964599998665,True,True
50000,9.373982600052841,924.0116261000512,98.57193740628904,0.18747965200105682,18.480232522001025,True,True
100000,19.246611999929883,1850.4163998001022,96.14244833359989,0.19246611999929883,18.504163998001022,True,True
