tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
1,0.2041664000134915,0.0368049000389874,0.18026913359179225,204.1664000134915,36.8049000389874,True,True
10,0.3054540000157431,0.26445320004131645,0.8657709508721004,30.545400001574308,26.445320004131645,True,True
50,0.7848149000201374,1.2519392999820411,1.5952032765304505,15.696298000402749,25.038785999640822,True,True
100,1.600760499946773,2.5313630000455305,1.5813502395453292,16.00760499946773,25.313630000455305,True,True
500,8.530701000010595,12.989193000015803,1.5226407536730768,17.06140200002119,25.978386000031605,True,True
1000,20.56666170002427,27.916353999986313,1.3573595174151851,20.56666170002427,27.916353999986313,False,True
5000,98.85144390002824,128.89007250010036,1.3038764778231382,19.770288780005647,25.778014500020074,False,True
10000,190.1948914999375,251.65497019991744,1.3231426365623502,19.01948914999375,25.165497019991744,False,True
50000,905.3661880000727,1250.3810860000085,1.3810777369122471,18.107323760001456,25.00762172000017,False,True
100000,1813.9515323999804,2771.4244183999253,1.5278381858048564,18.139515323999806,27.714244183999252,False,True
