tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
1,0.5061464000027627,0.11151089996565133,0.22031352977131258,506.1464000027627,111.51089996565133,True,True
10,0.4017785999458283,0.3112305999966338,0.7746320984706426,40.17785999458283,31.123059999663383,True,True
50,0.41981000010855496,1.5159488000208512,3.611035467542115,8.3962000021711,30.318976000417024,True,True
100,0.5236873000394553,2.715750699979253,5.185825013848235,5.236873000394553,27.15750699979253,True,True
500,2.6182574999984354,12.11757649993524,4.628107243058592,5.236514999996871,24.23515299987048,True,True
1000,14.278753599966876,29.65569799998775,2.076910830652372,14.278753599966876,29.65569799998775,True,True
5000,73.00342850002926,133.8861677000532,1.8339709579530163,14.600685700005853,26.777233540010638,True,True
10000,137.169511300046,282.53110779996496,2.0597223473513258,13.716951130004599,28.253110779996497,True,True
50000,599.6746570999967,1429.643076700042,2.3840311738597397,11.993493141999934,28.59286153400084,True,True
100000,1246.5225282999454,2997.4166907999897,2.404622959272128,12.465225282999453,29.974166907999898,True,True
