tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
10,0.0018563000485301018,0.1954234999138862,105.27581468773377,0.18563000485301018,19.54234999138862,True,True
50,0.0047556000063195825,0.9135891000041738,192.1080618197769,0.09511200012639165,18.271782000083476,True,True
100,0.003974699997343123,1.813787700026296,456.33323300845785,0.03974699997343123,18.13787700026296,True,True
500,0.019980299985036254,9.48267999989912,474.6014828106152,0.03996059997007251,18.96535999979824,True,True
1000,0.039804100058972836,20.090793500072323,504.7418097710102,0.039804100058972836,20.090793500072323,True,True
5000,0.23194859991781414,91.61517909995746,394.98052211748325,0.046389719983562824,18.323035819991492,True,True
10000,0.5280821999767795,182.2821827000007,345.17766875690165,0.05280821999767795,18.22821827000007,True,True
50000,2.5495940999826416,904.1892022000393,354.64045128053726,0.05099188199965283,18.083784044000783,True,True
100000,6.6968429000116885,1815.5137078000698,271.099939913015,0.06696842900011689,18.1551370780007,True,True
