tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
1,0.8611420999513939,0.07254199997987598,0.08423929103451164,861.1420999513939,72.54199997987598,True,True
10,1.1643570000305772,0.5120818000286818,0.439797931403542,116.43570000305772,51.208180002868176,True,True
50,2.203652099939063,2.4663375999080017,1.1192046149100408,44.073041998781264,49.326751998160034,True,True
100,3.9624825000064448,4.795029100030661,1.2101073254008974,39.62482500006445,47.950291000306606,True,True
500,18.472191700013354,24.222309099975973,1.3112850653211043,36.94438340002671,48.44461819995195,True,True
1000,55.82847960002255,47.96299860009458,0.8591134658102925,55.82847960002255,47.96299860009458,False,True
5000,276.11372949997894,241.08838570001535,0.8731488511513287,55.22274589999579,48.21767714000307,False,True
10000,546.1130480000284,482.7758518999908,0.8840218223461414,54.611304800002834,48.27758518999909,False,True
50000,2729.375951200025,2412.6512469999725,0.8839570986690939,54.58751902400051,48.25302493999945,False,True
100000,5512.042007600074,4828.131983999978,0.8759243810810745,55.120420076000734,48.28131983999978,False,True
