tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
10,0.001987099996767938,0.17668880010023713,88.91792078286214,0.1987099996767938,17.668880010023713,True,True
50,0.0018907999619841576,0.9057549999561161,479.03269418603105,0.03781599923968315,18.11509999912232,True,True
100,0.0021602000342682004,1.72858360002283,800.196080271063,0.021602000342682004,17.2858360002283,True,True
500,0.013960199896246195,8.458131700055674,605.8746839527713,0.02792039979249239,16.916263400111347,True,True
1000,0.02665689995046705,16.922410400002263,634.8228950645766,0.02665689995046705,16.922410400002263,True,True
5000,0.13220910006202757,87.42619039991405,661.2721087950598,0.026441820012405515,17.48523807998281,True,True
10000,0.2656957999570295,170.81994029995985,642.9154707285032,0.026569579995702954,17.081994029995986,True,True
50000,1.219356199959293,891.6531318000052,731.2491065611281,0.02438712399918586,17.833062636000104,True,True
100000,3.4712195999454707,1793.354596799938,516.6353050173229,0.03471219599945471,17.93354596799938,True,True
