tau,t_tpf,t_nr,speedup,tpf_per_scenario,nr_per_scenario,tpf_converged,nr_converged
1,0.5605427999980748,0.064461600035429,0.11499853362785215,560.5427999980748,64.461600035429,True,True
10,0.8474478999851272,0.48820700007490814,0.5760908724695362,84.74478999851272,48.820700007490814,True,True
50,0.8664011000655591,1.7502448000013828,2.020132245756549,17.328022001311183,35.00489600002766,True,True
100,0.4822044000029564,2.6607055999338627,5.517796187503785,4.822044000029564,26.607055999338627,True,True
500,2.398961899918504,13.152821999974549,5.482714002428037,4.797923799837008,26.305643999949098,True,True
1000,5.955239700037055,27.667957499972545,4.645985534352276,5.955239700037055,27.667957499972545,True,True
5000,54.04283400007989,191.29348300001584,3.539664167125896,10.80856680001598,38.25869660000317,True,True
10000,87.16823339997791,271.40025649999734,3.113522506010385,8.716823339997791,27.140025649999732,True,True
50000,321.69276320002973,1284.0277809000108,3.9914723854126546,6.433855264000594,25.680555618000216,True,True
100000,630.5096393999411,2432.1858782999916,3.8574919815892335,6.305096393999411,24.321858782999918,True,True
